Committee,Type,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Amount,Country,Occupation,Employer,Contribution Type,Amount Type,Purpose,Total To Date,Refund Transaction Type,Refund Original Transaction Date,Refund Original Transaction Total,Refund Original Transaction Descr,Previous Transaction (Y/N),Fundraiser Name,Fundraiser Location,Fundraiser Attendees,Fundraiser Tickets Sold,Election Type,Total Primary,Total General,type,Expenditure Type,Candidate Issue,Expenditure Platform,Expenditure Quantity,Expenditure Specific Services,Attachment,# of Donors - Individuals,Total $ - Individual,# of Donors - Committees,Total $ - Committee,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter
Beck Amsden & Stalpes,expenditure,10/01/2025 to 01/05/2026,C4,2026-01-02 00:00:00,Montana Law PAC ,,,,P.O. Box 838,Helena,MT,59624,,-1224.0,,,,,,MTLA Eagle dues ,,,,,,,,,,,GN,,,,2,,,,,N,,,,,,,
Beck Amsden & Stalpes,expenditure,10/01/2025 to 01/05/2026,C4,2026-01-02 00:00:00,Montana Law PAC ,,,,P.O. Box 838,Helena,MT,59624,,-612.0,,,,,,MTLA Eagle dues,,,,,,,,,,,GN,,,,2,,,,,N,,,,,,,
Beck Amsden & Stalpes,expenditure,10/01/2025 to 01/05/2026,C4,2025-11-03 00:00:00,Montana Law PAC ,,,,P.O. Box 838,Helena,MT,59624,,-612.0,,,,,,MTLA Eagle dues,,,,,,,,,,,GN,,,,2,,,,,N,,,,,,,
Montana Law-PAC,contribution,01/01/2026 to 03/25/2026,C6,2026-01-05 00:00:00,"Beck, Amsden & Stalpes",,,,610 Professional Dr.,Bozeman,MT,59718,,1224.0,,,,6,CA,,1224.0,,,,,N,,,,,,,,Political party contributions,,,,,,,,,,,,,
Montana Law-PAC,contribution,10/01/2025 to 12/31/2025,C6,2025-10-28 00:00:00,"Beck, Amsden & Stalpes",,,,610 Professional Dr.,Bozeman,MT,59718,,612.0,,,,6,CA,,2448.0,,,,,N,,,,,,,,Political party contributions,,,,,,,,,,,,,
Montana Law-PAC,contribution,10/01/2025 to 12/31/2025,C6,2025-12-29 00:00:00,"Beck, Amsden & Stalpes",,,,610 Professional Dr.,Bozeman,MT,59718,,612.0,,,,6,CA,,2448.0,,,,,N,,,,,,,,Political party contributions,,,,,,,,,,,,,
